filename,latent,content,sae,is_refusal_related,layer,base_name
layers.6_latent928.txt,928,"""Negation words or phrases, often used to indicate the absence or opposite of something, typically expressed through the words \""not\"", \""don't\"", \""doesn't\"", \""never\"", or contractions like \""can't\"", \""won't\"", \""doesn't\"".""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent730.txt,730,"""Negation in text, often expressed through the use of \""not\"", \""'t\"", or \""don't\"" to indicate the absence or opposite of something.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent636.txt,636,"""Polite expressions of encouragement or warning, often in the form of imperatives, advising the listener not to hesitate or forget, and occasionally not to be afraid or shy, typically in a context of offering help or guidance.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent186.txt,186,"""The word \""all\"" is often used in a negative context, typically with the word \""not\"" to indicate that something does not apply universally or to every individual, and sometimes the word \""everyone\"" is used in a similar manner.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent506.txt,506,"""Auxiliary verbs, particularly \""do\"", \""does\"", \""did\"", \""don't\"", and \""doesn't\"", often used in questions, negations, and emphatic statements, and sometimes in declarative sentences for emphasis or clarity.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent510.txt,510,"""Verbs and nouns related to denial, threats, and being a fan or supporter, often used in contexts of argumentation, conflict, or strong opinions.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent771.txt,771,"""The word \""other\"" or \""others\"" often used to contrast or compare two or more groups, people, or things, and sometimes used to refer to people or things that are not specified or are unknown.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent703.txt,703,"""Negation words or phrases, often used to indicate the absence or opposite of something, typically expressed through words such as \""not\"", \""never\"", \""no\"", or contractions like \""don't\"", \""'t\"", or \""'re\"".""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent633.txt,633,"""The tokens \""tap\"", \""tapping\"", \""taps\"", \""upstream\"", \""downstream\"", and \""stream\"" are related to actions or processes, while \""but\"" is a conjunction used to express contrast or exception, often in phrases like \""can't help but\"".""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent180.txt,180,"""Negation words, such as \""not\"", \""cannot\"", and \""forget\"", are used to convey inability, prohibition, or absence of something, often in a context of advice, warning, or explanation. ~CGPT""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent169.txt,169,"""Contractions of negation, primarily in the form of \""don't\"", \""doesn't\"", \""won't\"", \""aren't\"", \""isn't\"", \""couldn't\"", \""shouldn't\"", and \""haven't\"", often used in informal or conversational contexts.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent847.txt,847,"""The token \""Civil\"" often refers to the American Civil War, while \""conv\"" relates to convulsions, and \""ra\"" or \""s\"" or \""az\"" or \""us\"" or \""conv\"" or \""Civil\"" are often used in various contexts, including but not limited to, describing depravity, or being part of a word, or being part of a proper noun.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent87.txt,87,"""The token \""else\"" is used in conditional statements, typically following an \""if\"" condition, to specify an alternative action when the initial condition is not met.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent969.txt,969,"""A placeholder or variable indicator, often used to represent a name or entity that is not specified or is to be filled in.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent217.txt,217,"""The token \""-\"" is often used as a prefix to form words that have a meaning of \""not\"" or \""opposite of\"", commonly used in adjectives and adverbs.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent110.txt,110,"""The token \""etc\"" is used to indicate a partial list or an open-ended sequence, suggesting that there are more items that could be included but are not explicitly mentioned.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent2.txt,2,"""The word \""without\"" is often used to indicate the absence or exclusion of something, typically in a context where an action or situation is being described as not involving or requiring something else.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent82.txt,82,"""A variety of tokens, often single characters or short sequences, that appear to be part of a larger text, sometimes indicating formatting, separation, or special notation, and often not carrying significant meaning on their own.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent260.txt,260,"""The prefix \""un\"" is used to indicate negation or opposition, often forming adjectives that describe something as not having a particular quality or characteristic.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.25_latent545.txt,545,"""The token \""fl\"" often appears as a prefix or part of a word, commonly in words such as \""floor\"", \""float\"", \""flood\"", \""flirt\"", \""flange\"", or \""flash\"", and sometimes as a suffix in words like \""fulfill\"" or \""willful\"" is not present, but \""will\"" is.""",smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k-layer-25,True,25,smollm2-sparsify-EQ-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent993.txt,993,"""A placeholder or variable name, often used in a context where a specific name or identifier is needed, but not provided.""",smollm2-sparsify-lmsys-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-lmsys-50M-token-6_25-layers-32-expansion-64-k
layers.6_latent977.txt,977,"""The word \""no\"" is used to indicate negation or absence, often in phrases or sentences that convey a sense of lack, denial, or impossibility.""",smollm2-sparsify-lmsys-50M-token-6_25-layers-32-expansion-64-k-layer-6,True,6,smollm2-sparsify-lmsys-50M-token-6_25-layers-32-expansion-64-k
